market, 0.00_sar, 0.25_sar, 0.50_sar, 1.00_sar, 0.00_const, 0.25_const, 0.50_const, 1.00_const, max_trd_sz, annaul_vol($)
AUD, 0.0000, 0.0000, 0.8171, 0.1991, 0.0000, 0.4424, 0.5377, 0.3707, 48.9369, 4101.8048
BTP, 0.0000, 0.0000, 0.5760, 0.4395, 0.9506, 0.7704, 0.8931, 1.7426, 79.4600, 41925.9325
Brent, 1.6939, 1.4805, 1.0962, 1.4510, 1.1180, 0.8113, 0.5003, 0.9398, 62.2288, 35535.3695
Bund, 0.2024, 0.0000, 0.5828, 1.3251, 0.0000, 0.0000, 0.1775, 0.8212, 54.2857, 4355.0966
CAC, 0.8648, 0.6264, 1.0492, 0.2820, 0.0000, 0.0000, 0.0000, 0.0000, 65.5178, 2741.4267
CAD, 0.0000, 0.0000, 0.0000, 0.0000, 0.8067, 0.6933, 0.3144, 0.6760, 49.1545, 5271.9128
CHF, 0.0000, 0.0000, 0.0000, 0.0000, 0.1483, 0.5463, 0.9985, 0.3468, 21.9184, 4345.4368
DAX, 1.4271, 1.2005, 0.8402, 1.8603, 0.0000, 0.0000, 0.0000, 0.0000, 22.3321, 15541.7885
DJIA, 0.8349, 0.0000, 0.3065, 0.0000, 0.0000, 0.0000, 0.0000, 0.4059, 19.6337, 1635.6262
ED, 0.0000, 0.0000, 0.0000, 0.2262, 0.2688, 0.0861, 0.5018, 0.3467, 498.6699, 2537.5879
EUR, 1.4937, 1.8809, 0.8512, 0.4874, 1.1517, 0.7491, 0.7925, 0.4312, 82.6552, 32141.5936
EuroStoxx, 0.0142, 0.0000, 0.7193, 0.0000, 0.3955, 0.2277, 0.4018, 0.0000, 30.1094, 3618.8249
FTSE, 0.0000, 0.0000, 0.0000, 0.0000, 0.0424, 0.1481, 0.6072, 0.0000, 7.5985, 1376.8507
FV, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
GBP, 0.0000, 0.2734, 0.6286, 1.2636, 0.5159, 1.3078, 1.0965, 0.9946, 109.1622, 20941.8470
Gasoil, 1.3938, 1.8363, 0.7700, 0.4977, 0.6059, 0.6495, 0.0000, 0.1242, 49.3597, 18812.5454
Gilt, 0.8210, 1.1134, 0.1602, 1.1524, 0.0000, 0.0000, 0.0000, 0.0000, 42.9299, 7156.7848
Gold, 2.5820, 2.8883, 3.0548, 2.4816, 1.6425, 2.1943, 2.2559, 1.6957, 141.6140, 332260.2682
HGCopper, 1.9414, 2.0796, 1.6361, 1.1257, 0.9261, 0.7278, 0.5146, 0.6677, 81.6138, 47009.6448
HO, 2.0203, 2.6233, 2.3373, 0.8837, 0.7353, 1.0980, 1.1734, 0.6680, 63.2633, 85790.1010
IBEX35, 0.1960, 0.9914, 2.0589, 0.7949, 1.4593, 1.4538, 1.6742, 1.3857, 73.7640, 92590.0436
JPY, 2.3722, 1.0522, 1.2281, 1.8159, 2.1588, 1.5166, 1.7288, 2.1126, 221.9506, 109200.2474
NDX, 1.8036, 2.0105, 2.7122, 1.3760, 2.0127, 1.9455, 2.2965, 2.0455, 292.0893, 119167.1213
NG, 0.1456, 1.2102, 0.1198, 0.3409, 0.2990, 0.6385, 0.0000, 0.0000, 25.8577, 7303.5274
NZD, 0.0300, 0.6434, 0.8681, 0.0006, 0.0000, 1.1244, 1.2972, 0.7037, 73.1405, 11278.0850
OAT, 1.0803, 1.0602, 0.5067, 1.2407, 0.0000, 0.0000, 0.0306, 1.2821, 77.7306, 25292.8159
Platinum, 2.6695, 2.1943, 1.0575, 1.1869, 1.9372, 1.8588, 1.1059, 1.3027, 157.3436, 187176.2666
RBOB, 1.8594, 1.7010, 0.0000, 0.7740, 0.2299, 0.1486, 0.1708, 0.1350, 20.5288, 20756.6316
Russell, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
SPX, 0.8603, 0.7982, 0.4663, 0.7587, 1.0041, 1.0789, 0.7507, 1.7281, 84.9052, 18014.0803
Silver, 1.1078, 0.9027, 1.0019, 1.6940, 1.9101, 1.8716, 2.1272, 2.3101, 83.1537, 120335.4648
TU, 0.0000, 0.0000, 0.6594, 0.9500, 0.0000, 0.0000, 0.0872, 0.0000, 78.5940, 964.4815
TY, 0.8003, 0.0000, 0.2320, 0.4391, 0.9942, 0.1793, 0.2059, 1.0360, 64.7883, 16534.8227
US, 2.0901, 0.0914, 0.0000, 1.3222, 0.4575, 0.0000, 0.0000, 0.6785, 32.7822, 27139.9206
WTI, 1.6707, 0.6463, 0.8361, 1.7744, 1.2197, 0.9206, 0.5895, 0.7412, 56.1032, 33349.9999
